date_time,precipMM,maxtempC,mintempC,humidity,pressure,tempC,visibility,windspeedKmph,winddirDegree,cloudcover,WindGustKmph,WindChillC,totalSnow_cm,sunHour,uvIndex,year,month,day,is_rainy
2009-02-09,0.0,30.0,15.0,52.791666666666664,1015.125,22.0,10.0,13.916666666666666,94.20833333333333,3.2083333333333335,18.958333333333332,23.291666666666668,0.0,11.6,6.0,2009,2,9,False
2009-02-10,0.0,30.0,13.0,49.25,1014.0,22.0,10.0,9.083333333333334,88.33333333333333,4.291666666666667,13.291666666666666,23.625,0.0,11.6,6.0,2009,2,10,False
2009-02-11,0.0,32.0,13.0,40.958333333333336,1012.7083333333334,22.75,10.0,6.458333333333333,106.29166666666667,5.833333333333333,10.625,25.0,0.0,11.6,6.0,2009,2,11,False
2009-02-12,0.0,33.0,15.0,41.791666666666664,1012.125,24.291666666666668,10.0,5.5,88.875,7.416666666666667,8.625,25.666666666666668,0.0,11.6,6.0,2009,2,12,False
2009-02-13,0.0,34.0,17.0,39.541666666666664,1011.625,24.583333333333332,10.0,6.166666666666667,145.04166666666666,4.916666666666667,9.833333333333334,26.125,0.0,11.6,6.0,2009,2,13,False
2009-02-14,0.0,33.0,17.0,37.291666666666664,1011.7083333333334,24.541666666666668,10.0,6.041666666666667,120.54166666666667,6.291666666666667,9.666666666666666,25.875,0.0,11.6,6.0,2009,2,14,False
2009-02-15,0.0,32.0,16.0,40.375,1011.1666666666666,23.541666666666668,10.0,10.166666666666666,120.29166666666667,4.125,15.333333333333334,24.541666666666668,0.0,11.6,6.0,2009,2,15,False
2009-02-16,0.0,31.0,16.0,40.958333333333336,1012.0833333333334,23.166666666666668,10.0,12.625,102.58333333333333,0.9166666666666666,18.0,24.416666666666668,0.0,11.6,6.0,2009,2,16,False
2009-02-17,0.0,30.0,15.0,45.416666666666664,1013.2083333333334,22.083333333333332,10.0,13.75,86.91666666666667,0.25,19.791666666666668,23.083333333333332,0.0,11.6,6.0,2009,2,17,False
2009-02-18,0.0,31.0,14.0,48.333333333333336,1012.375,22.291666666666668,10.0,10.791666666666666,89.29166666666667,2.5,15.333333333333334,23.416666666666668,0.0,11.6,6.0,2009,2,18,False
2009-02-19,0.0,31.0,15.0,42.166666666666664,1011.2083333333334,22.916666666666668,10.0,13.416666666666666,89.75,0.0,19.416666666666668,24.041666666666668,0.0,11.6,6.0,2009,2,19,False
2009-02-20,0.0,31.0,15.0,49.625,1012.8333333333334,23.125,10.0,13.0,98.58333333333333,5.791666666666667,18.125,24.041666666666668,0.0,11.6,6.0,2009,2,20,False
2009-02-21,0.0,32.0,16.0,58.416666666666664,1012.5,24.0,9.0,10.333333333333334,106.875,14.5,13.791666666666666,25.083333333333332,0.0,11.6,6.0,2009,2,21,False
2009-02-22,0.0,33.0,18.0,52.75,1010.125,25.625,10.0,13.583333333333334,104.79166666666667,10.25,18.916666666666668,26.208333333333332,0.0,11.6,7.0,2009,2,22,False
2009-02-23,0.0,34.0,18.0,47.583333333333336,1010.6666666666666,25.75,10.0,11.041666666666666,108.79166666666667,4.833333333333333,15.958333333333334,27.208333333333332,0.0,11.6,7.0,2009,2,23,False
2009-02-24,0.0,35.0,18.0,45.958333333333336,1011.0,26.25,9.0,6.75,136.5,2.5833333333333335,10.5,28.375,0.0,11.6,7.0,2009,2,24,False
2009-02-25,0.0,36.0,18.0,40.833333333333336,1009.9583333333334,27.25,10.0,5.916666666666667,142.125,4.458333333333333,9.125,29.125,0.0,11.6,7.0,2009,2,25,False
2009-02-26,0.0,37.0,20.0,37.666666666666664,1009.5416666666666,28.375,10.0,7.666666666666667,112.79166666666667,4.583333333333333,11.708333333333334,29.583333333333332,0.0,11.6,7.0,2009,2,26,False
2009-02-27,0.0,35.0,20.0,35.0,1011.2083333333334,26.375,10.0,10.333333333333334,110.54166666666667,1.9166666666666667,15.166666666666666,27.666666666666668,0.0,11.6,7.0,2009,2,27,False
2009-02-28,0.0,35.0,15.0,26.208333333333332,1011.2083333333334,25.458333333333332,10.0,6.5,132.16666666666666,0.0,10.291666666666666,28.5,0.0,11.6,7.0,2009,2,28,False
2009-03-01,0.0,36.0,17.0,25.583333333333332,1010.3333333333334,26.333333333333332,10.0,8.25,116.75,0.0,13.458333333333334,28.833333333333332,0.0,11.6,7.0,2009,3,1,False
2009-03-02,0.0,35.0,18.0,32.541666666666664,1010.7083333333334,26.666666666666668,10.0,9.625,84.75,0.9583333333333334,15.083333333333334,28.416666666666668,0.0,11.6,7.0,2009,3,2,False
2009-03-03,0.0,35.0,18.0,36.625,1010.9583333333334,25.958333333333332,10.0,8.708333333333334,105.91666666666667,0.7083333333333334,13.083333333333334,27.958333333333332,0.0,11.6,7.0,2009,3,3,False
2009-03-04,0.0,37.0,18.0,32.083333333333336,1010.6666666666666,26.541666666666668,10.0,7.041666666666667,96.5,1.3333333333333333,10.916666666666666,28.916666666666668,0.0,11.6,7.0,2009,3,4,False
2009-03-05,0.0,35.0,18.0,30.125,1010.375,26.208333333333332,10.0,8.416666666666666,166.29166666666666,1.0833333333333333,13.333333333333334,28.041666666666668,0.0,11.6,7.0,2009,3,5,False
2009-03-06,0.0,37.0,17.0,27.583333333333332,1010.7083333333334,26.25,10.0,6.0,148.04166666666666,0.5,10.166666666666666,29.125,0.0,11.6,7.0,2009,3,6,False
2009-03-07,0.0,35.0,18.0,27.125,1010.0833333333334,26.791666666666668,10.0,8.791666666666666,131.25,1.5416666666666667,13.25,28.583333333333332,0.0,11.6,7.0,2009,3,7,False
2009-03-08,0.0,34.0,18.0,28.666666666666668,1010.625,25.958333333333332,10.0,13.625,147.41666666666666,0.3333333333333333,20.333333333333332,26.875,0.0,11.6,7.0,2009,3,8,False
2009-03-09,0.0,32.0,17.0,32.625,1012.5416666666666,24.375,10.0,11.916666666666666,97.83333333333333,42.25,17.041666666666668,25.0,0.0,8.8,6.0,2009,3,9,False
