day,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,rainy_day
2018-08-29,28.0,20.0,0.0,11.6,6.0,3.9583333333333335,76.0,18.958333333333332,24.583333333333332,24.875,23.416666666666668,21.125,43.291666666666664,76.20833333333333,0.14583333333333334,1009.5416666666666,23.458333333333332,9.625,269.0833333333333,16.041666666666668,1
2018-08-30,27.0,20.0,0.0,11.6,6.0,3.875,69.0,19.0,24.916666666666668,25.083333333333332,23.75,21.541666666666668,49.75,75.91666666666667,0.44583333333333336,1009.0416666666666,23.708333333333332,9.125,282.875,15.75,1
2018-08-31,28.0,21.0,0.0,8.9,5.0,3.625,65.0,19.0,25.166666666666668,25.625,23.958333333333332,20.791666666666668,60.25,75.41666666666667,0.33749999999999997,1009.5416666666666,23.875,9.291666666666666,285.3333333333333,15.5,1
2018-09-01,28.0,20.0,0.0,11.6,5.0,3.9583333333333335,48.0,18.625,24.916666666666668,25.458333333333332,23.958333333333332,17.375,37.041666666666664,74.375,0.1625,1010.5833333333334,23.75,9.208333333333334,285.75,13.5,1
2018-09-02,29.0,20.0,0.0,11.6,6.0,3.9166666666666665,41.0,18.375,25.625,26.041666666666668,24.541666666666668,18.333333333333332,32.708333333333336,70.75,0.1125,1010.5416666666666,24.375,9.875,288.875,13.916666666666666,1
2018-09-03,29.0,20.0,0.0,11.6,6.0,4.166666666666667,33.0,17.625,25.916666666666668,26.25,25.041666666666668,15.75,23.958333333333332,65.70833333333333,0.0,1010.4166666666666,24.833333333333332,10.0,306.0833333333333,12.166666666666666,0
2018-09-04,29.0,20.0,0.0,11.6,6.0,4.166666666666667,26.0,17.5,25.791666666666668,26.166666666666668,25.0,15.041666666666666,19.833333333333332,65.16666666666667,0.0,1010.625,24.625,10.0,260.25,11.666666666666666,0
2018-09-05,28.0,20.0,0.0,11.6,6.0,4.041666666666667,18.0,17.791666666666668,25.166666666666668,25.583333333333332,24.208333333333332,17.833333333333332,33.666666666666664,69.25,0.10416666666666667,1010.375,24.0,9.625,285.25,13.75,1
2018-09-06,29.0,20.0,0.0,11.6,6.0,4.041666666666667,11.0,17.916666666666668,25.291666666666668,25.458333333333332,24.333333333333332,18.916666666666668,30.041666666666668,69.70833333333333,0.049999999999999996,1009.3333333333334,24.083333333333332,9.875,279.6666666666667,14.666666666666666,1
2018-09-07,28.0,20.0,0.0,11.6,6.0,4.0,3.0,17.833333333333332,24.625,25.083333333333332,23.666666666666668,19.833333333333332,29.791666666666668,70.91666666666667,0.06666666666666667,1010.0416666666666,23.625,9.875,272.625,15.541666666666666,1
2018-09-08,30.0,19.0,0.0,11.6,6.0,4.166666666666667,0.0,17.541666666666668,25.75,25.875,24.833333333333332,15.916666666666666,22.916666666666668,65.95833333333333,0.0,1009.9166666666666,24.5,10.0,283.875,12.625,0
2018-09-09,29.0,21.0,0.0,11.6,7.0,4.166666666666667,0.0,17.708333333333332,26.708333333333332,27.166666666666668,25.75,9.208333333333334,26.625,62.583333333333336,0.0,1010.25,25.166666666666668,10.0,263.75,7.458333333333333,0
2018-09-10,28.0,22.0,0.0,11.6,6.0,3.875,0.0,18.25,26.583333333333332,26.791666666666668,25.25,8.166666666666666,37.208333333333336,66.375,0.27499999999999997,1012.25,24.666666666666668,9.5,250.375,6.166666666666667,1
2018-09-11,30.0,22.0,0.0,11.6,7.0,3.9166666666666665,4.0,19.125,28.208333333333332,28.208333333333332,26.416666666666668,7.541666666666667,32.958333333333336,65.625,0.1625,1012.0,25.833333333333332,9.583333333333334,185.66666666666666,5.208333333333333,1
2018-09-12,30.0,22.0,0.0,11.6,6.0,4.208333333333333,12.0,18.625,28.458333333333332,28.458333333333332,26.875,8.5,29.083333333333332,61.833333333333336,0.07916666666666666,1010.5416666666666,26.291666666666668,9.75,262.0,6.458333333333333,1
2018-09-13,28.0,23.0,0.0,11.6,6.0,3.9583333333333335,19.0,19.833333333333332,27.833333333333332,27.833333333333332,26.208333333333332,7.083333333333333,29.833333333333332,68.375,0.3458333333333334,1009.875,25.458333333333332,9.25,278.2083333333333,4.625,1
2018-09-14,31.0,22.0,0.0,11.6,6.0,4.25,27.0,17.583333333333332,28.416666666666668,28.583333333333332,27.166666666666668,6.625,20.708333333333332,56.625,0.020833333333333332,1010.0416666666666,26.375,9.791666666666666,279.9166666666667,4.875,1
2018-09-15,30.0,22.0,0.0,10.2,7.0,3.75,34.0,18.958333333333332,26.958333333333332,27.166666666666668,25.333333333333332,15.208333333333334,35.875,68.66666666666667,0.2125,1010.4583333333334,25.125,9.625,253.70833333333334,10.958333333333334,1
